firm,Dates,Price,Symbol,Date,Nifty50 prices
3IINFOTECH,21-04-2005,50,NIFTY50,04-01-2000,"1,638.70"
3IINFOTECH,22-04-2005,48.9,NIFTY50,05-01-2000,"1,595.80"
3IINFOTECH,25-04-2005,47.43,NIFTY50,06-01-2000,"1,617.60"
3IINFOTECH,26-04-2005,46.6,NIFTY50,07-01-2000,"1,613.30"
3IINFOTECH,27-04-2005,48,NIFTY50,10-01-2000,"1,632.95"
3IINFOTECH,28-04-2005,47.88,NIFTY50,11-01-2000,"1,572.50"
3IINFOTECH,29-04-2005,46.65,NIFTY50,12-01-2000,"1,624.80"
3IINFOTECH,02-05-2005,46.88,NIFTY50,13-01-2000,"1,621.40"
3IINFOTECH,03-05-2005,46.5,NIFTY50,14-01-2000,"1,622.75"
3IINFOTECH,04-05-2005,46.85,NIFTY50,17-01-2000,"1,611.60"
3IINFOTECH,05-05-2005,46.78,NIFTY50,18-01-2000,"1,606.70"
3IINFOTECH,06-05-2005,47.3,NIFTY50,19-01-2000,"1,634.85"
3IINFOTECH,09-05-2005,47.53,NIFTY50,20-01-2000,"1,601.10"
3IINFOTECH,10-05-2005,47.53,NIFTY50,21-01-2000,"1,620.60"
3IINFOTECH,11-05-2005,47.28,NIFTY50,24-01-2000,"1,613.60"
3IINFOTECH,12-05-2005,47.23,NIFTY50,25-01-2000,"1,586.40"
3IINFOTECH,13-05-2005,47.03,NIFTY50,27-01-2000,"1,603.90"
3IINFOTECH,16-05-2005,47.65,NIFTY50,28-01-2000,"1,599.10"
3IINFOTECH,17-05-2005,48,NIFTY50,31-01-2000,"1,546.20"
3IINFOTECH,18-05-2005,49.4,NIFTY50,01-02-2000,"1,549.50"
3IINFOTECH,19-05-2005,49,NIFTY50,02-02-2000,"1,588.00"
3IINFOTECH,20-05-2005,50.48,NIFTY50,03-02-2000,"1,597.90"
3IINFOTECH,23-05-2005,49.28,NIFTY50,04-02-2000,"1,599.75"
3IINFOTECH,24-05-2005,48.4,NIFTY50,07-02-2000,"1,636.60"
3IINFOTECH,25-05-2005,48.1,NIFTY50,08-02-2000,"1,662.75"
3IINFOTECH,26-05-2005,48.65,NIFTY50,09-02-2000,"1,689.65"
3IINFOTECH,27-05-2005,47.98,NIFTY50,10-02-2000,"1,711.20"
3IINFOTECH,30-05-2005,47.65,NIFTY50,11-02-2000,"1,756.00"
3IINFOTECH,31-05-2005,47.63,NIFTY50,14-02-2000,"1,744.50"
3IINFOTECH,01-06-2005,47.98,NIFTY50,15-02-2000,"1,702.55"
3IINFOTECH,02-06-2005,47.18,NIFTY50,16-02-2000,"1,711.10"
3IINFOTECH,03-06-2005,47.53,NIFTY50,17-02-2000,"1,742.10"
3IINFOTECH,06-06-2005,47.73,NIFTY50,18-02-2000,"1,717.80"
3IINFOTECH,07-06-2005,47.78,NIFTY50,21-02-2000,"1,753.50"
3IINFOTECH,08-06-2005,48.15,NIFTY50,22-02-2000,"1,739.05"
3IINFOTECH,09-06-2005,47.78,NIFTY50,23-02-2000,"1,696.40"
3IINFOTECH,10-06-2005,47.6,NIFTY50,24-02-2000,"1,732.00"
3IINFOTECH,13-06-2005,48.05,NIFTY50,25-02-2000,"1,710.45"
3IINFOTECH,14-06-2005,47.75,NIFTY50,28-02-2000,"1,722.55"
3IINFOTECH,15-06-2005,48.3,NIFTY50,29-02-2000,"1,654.80"
3IINFOTECH,16-06-2005,47.55,NIFTY50,01-03-2000,"1,712.70"
3IINFOTECH,17-06-2005,46.55,NIFTY50,02-03-2000,"1,696.55"
3IINFOTECH,20-06-2005,46.6,NIFTY50,03-03-2000,"1,656.00"
3IINFOTECH,21-06-2005,46.38,NIFTY50,06-03-2000,"1,688.50"
3IINFOTECH,22-06-2005,46,NIFTY50,07-03-2000,"1,702.75"
3IINFOTECH,23-06-2005,45.85,NIFTY50,08-03-2000,"1,666.35"
3IINFOTECH,24-06-2005,45.85,NIFTY50,09-03-2000,"1,646.25"
3IINFOTECH,27-06-2005,45.88,NIFTY50,10-03-2000,"1,602.75"
3IINFOTECH,28-06-2005,45,NIFTY50,13-03-2000,"1,560.70"
3IINFOTECH,29-06-2005,44.55,NIFTY50,14-03-2000,"1,567.05"
3IINFOTECH,30-06-2005,44.53,NIFTY50,15-03-2000,"1,620.10"
3IINFOTECH,01-07-2005,44.3,NIFTY50,16-03-2000,"1,562.20"
3IINFOTECH,04-07-2005,44.6,NIFTY50,21-03-2000,"1,556.60"
3IINFOTECH,05-07-2005,44.58,NIFTY50,22-03-2000,"1,589.60"
3IINFOTECH,06-07-2005,46.35,NIFTY50,23-03-2000,"1,553.40"
3IINFOTECH,07-07-2005,45.28,NIFTY50,24-03-2000,"1,569.55"
3IINFOTECH,08-07-2005,45.25,NIFTY50,27-03-2000,"1,562.95"
3IINFOTECH,11-07-2005,45.45,NIFTY50,28-03-2000,"1,568.60"
3IINFOTECH,12-07-2005,45.13,NIFTY50,29-03-2000,"1,558.25"
3IINFOTECH,13-07-2005,44.88,NIFTY50,30-03-2000,"1,549.50"
3IINFOTECH,14-07-2005,44.65,NIFTY50,31-03-2000,"1,528.45"
3IINFOTECH,15-07-2005,44.65,NIFTY50,03-04-2000,"1,534.75"
3IINFOTECH,18-07-2005,48.08,NIFTY50,04-04-2000,"1,428.10"
3IINFOTECH,19-07-2005,52,NIFTY50,05-04-2000,"1,434.65"
3IINFOTECH,20-07-2005,51.38,NIFTY50,06-04-2000,"1,452.95"
3IINFOTECH,21-07-2005,49.65,NIFTY50,07-04-2000,"1,557.15"
3IINFOTECH,22-07-2005,50.45,NIFTY50,10-04-2000,"1,613.00"
3IINFOTECH,25-07-2005,49.53,NIFTY50,11-04-2000,"1,624.65"
3IINFOTECH,26-07-2005,48.58,NIFTY50,12-04-2000,"1,592.70"
3IINFOTECH,27-07-2005,48.15,NIFTY50,13-04-2000,"1,518.65"
3IINFOTECH,28-07-2005,48.15,NIFTY50,17-04-2000,"1,443.55"
3IINFOTECH,29-07-2005,52,NIFTY50,18-04-2000,"1,414.80"
3IINFOTECH,01-08-2005,50.83,NIFTY50,19-04-2000,"1,404.95"
3IINFOTECH,02-08-2005,52.03,NIFTY50,20-04-2000,"1,415.65"
3IINFOTECH,03-08-2005,51.9,NIFTY50,24-04-2000,"1,388.00"
3IINFOTECH,04-08-2005,51.1,NIFTY50,25-04-2000,"1,359.45"
3IINFOTECH,05-08-2005,54.5,NIFTY50,26-04-2000,"1,436.10"
3IINFOTECH,08-08-2005,53.6,NIFTY50,27-04-2000,"1,416.90"
3IINFOTECH,09-08-2005,56.63,NIFTY50,28-04-2000,"1,406.55"
3IINFOTECH,10-08-2005,63.05,NIFTY50,02-05-2000,"1,333.45"
3IINFOTECH,11-08-2005,62.63,NIFTY50,03-05-2000,"1,316.05"
3IINFOTECH,12-08-2005,60.85,NIFTY50,04-05-2000,"1,380.55"
3IINFOTECH,15-08-2005,60.85,NIFTY50,05-05-2000,"1,422.40"
3IINFOTECH,16-08-2005,63.7,NIFTY50,08-05-2000,"1,365.05"
3IINFOTECH,17-08-2005,63.63,NIFTY50,09-05-2000,"1,378.55"
3IINFOTECH,18-08-2005,61.65,NIFTY50,10-05-2000,"1,363.15"
3IINFOTECH,19-08-2005,61.58,NIFTY50,11-05-2000,"1,304.55"
3IINFOTECH,22-08-2005,61.55,NIFTY50,12-05-2000,"1,282.80"
3IINFOTECH,23-08-2005,60.45,NIFTY50,15-05-2000,"1,299.25"
3IINFOTECH,24-08-2005,60.18,NIFTY50,16-05-2000,"1,306.85"
3IINFOTECH,25-08-2005,62.85,NIFTY50,17-05-2000,"1,311.65"
3IINFOTECH,26-08-2005,62.43,NIFTY50,18-05-2000,"1,293.40"
3IINFOTECH,29-08-2005,65.88,NIFTY50,19-05-2000,"1,268.00"
3IINFOTECH,30-08-2005,66.73,NIFTY50,22-05-2000,"1,233.00"
3IINFOTECH,31-08-2005,66.3,NIFTY50,23-05-2000,"1,224.40"
3IINFOTECH,01-09-2005,66.4,NIFTY50,24-05-2000,"1,235.90"
3IINFOTECH,02-09-2005,66.9,NIFTY50,25-05-2000,"1,247.65"
3IINFOTECH,05-09-2005,65.75,NIFTY50,26-05-2000,"1,275.35"
3IINFOTECH,06-09-2005,64.88,NIFTY50,29-05-2000,"1,311.05"
3IINFOTECH,07-09-2005,64.88,NIFTY50,30-05-2000,"1,344.85"
3IINFOTECH,08-09-2005,65.08,NIFTY50,31-05-2000,"1,380.45"
3IINFOTECH,09-09-2005,63.6,NIFTY50,01-06-2000,"1,349.00"
3IINFOTECH,12-09-2005,65.48,NIFTY50,02-06-2000,"1,389.25"
3IINFOTECH,13-09-2005,65.3,NIFTY50,05-06-2000,"1,404.60"
3IINFOTECH,14-09-2005,64.3,NIFTY50,06-06-2000,"1,421.75"
3IINFOTECH,15-09-2005,66,NIFTY50,07-06-2000,"1,430.35"
3IINFOTECH,16-09-2005,68.63,NIFTY50,08-06-2000,"1,463.65"
3IINFOTECH,19-09-2005,67.05,NIFTY50,09-06-2000,"1,467.20"
3IINFOTECH,20-09-2005,66.43,NIFTY50,12-06-2000,"1,440.40"
3IINFOTECH,21-09-2005,63.95,NIFTY50,13-06-2000,"1,432.90"
3IINFOTECH,22-09-2005,58.48,NIFTY50,14-06-2000,"1,435.50"
3IINFOTECH,23-09-2005,60,NIFTY50,15-06-2000,"1,445.25"
3IINFOTECH,26-09-2005,62.85,NIFTY50,16-06-2000,"1,477.30"
3IINFOTECH,27-09-2005,68.78,NIFTY50,19-06-2000,"1,498.75"
3IINFOTECH,28-09-2005,69.28,NIFTY50,20-06-2000,"1,507.10"
3IINFOTECH,29-09-2005,66.8,NIFTY50,21-06-2000,"1,475.15"
3IINFOTECH,30-09-2005,66.1,NIFTY50,22-06-2000,"1,488.25"
3IINFOTECH,03-10-2005,66.35,NIFTY50,23-06-2000,"1,472.20"
3IINFOTECH,04-10-2005,67.55,NIFTY50,26-06-2000,"1,451.65"
3IINFOTECH,05-10-2005,65.65,NIFTY50,27-06-2000,"1,454.30"
3IINFOTECH,06-10-2005,66.8,NIFTY50,28-06-2000,"1,470.00"
3IINFOTECH,07-10-2005,67.45,NIFTY50,29-06-2000,"1,492.35"
3IINFOTECH,10-10-2005,66.03,NIFTY50,30-06-2000,"1,471.45"
3IINFOTECH,11-10-2005,65.88,NIFTY50,03-07-2000,"1,495.25"
3IINFOTECH,12-10-2005,65.88,NIFTY50,04-07-2000,"1,511.30"
3IINFOTECH,13-10-2005,65.4,NIFTY50,05-07-2000,"1,526.05"
3IINFOTECH,14-10-2005,63.1,NIFTY50,06-07-2000,"1,516.80"
3IINFOTECH,17-10-2005,61.43,NIFTY50,07-07-2000,"1,517.60"
3IINFOTECH,18-10-2005,61.5,NIFTY50,10-07-2000,"1,509.65"
3IINFOTECH,19-10-2005,59.23,NIFTY50,11-07-2000,"1,518.55"
3IINFOTECH,20-10-2005,58.05,NIFTY50,12-07-2000,"1,533.35"
3IINFOTECH,21-10-2005,59.5,NIFTY50,13-07-2000,"1,522.60"
3IINFOTECH,24-10-2005,60.38,NIFTY50,14-07-2000,"1,509.75"
3IINFOTECH,25-10-2005,59.23,NIFTY50,17-07-2000,"1,479.65"
3IINFOTECH,26-10-2005,59.15,NIFTY50,18-07-2000,"1,463.10"
3IINFOTECH,27-10-2005,57.58,NIFTY50,19-07-2000,"1,435.80"
3IINFOTECH,28-10-2005,55.1,NIFTY50,20-07-2000,"1,424.20"
3IINFOTECH,31-10-2005,56.93,NIFTY50,21-07-2000,"1,397.25"
3IINFOTECH,01-11-2005,58.65,NIFTY50,24-07-2000,"1,317.75"
3IINFOTECH,02-11-2005,61.98,NIFTY50,25-07-2000,"1,348.90"
3IINFOTECH,03-11-2005,61.98,NIFTY50,26-07-2000,"1,318.25"
3IINFOTECH,04-11-2005,61.98,NIFTY50,27-07-2000,"1,338.05"
3IINFOTECH,07-11-2005,62.6,NIFTY50,28-07-2000,"1,333.80"
3IINFOTECH,08-11-2005,63.95,NIFTY50,31-07-2000,"1,332.85"
3IINFOTECH,09-11-2005,64.38,NIFTY50,01-08-2000,"1,326.85"
3IINFOTECH,10-11-2005,64.93,NIFTY50,02-08-2000,"1,331.90"
3IINFOTECH,11-11-2005,68.28,NIFTY50,03-08-2000,"1,321.25"
3IINFOTECH,14-11-2005,66.68,NIFTY50,04-08-2000,"1,318.55"
3IINFOTECH,15-11-2005,66.68,NIFTY50,07-08-2000,"1,310.80"
3IINFOTECH,16-11-2005,67.18,NIFTY50,08-08-2000,"1,345.60"
3IINFOTECH,17-11-2005,66.05,NIFTY50,09-08-2000,"1,344.95"
3IINFOTECH,18-11-2005,66.15,NIFTY50,10-08-2000,"1,328.00"
3IINFOTECH,21-11-2005,64.8,NIFTY50,11-08-2000,"1,310.75"
3IINFOTECH,22-11-2005,64.03,NIFTY50,14-08-2000,"1,317.90"
3IINFOTECH,23-11-2005,64.95,NIFTY50,16-08-2000,"1,351.45"
3IINFOTECH,24-11-2005,65.13,NIFTY50,17-08-2000,"1,341.40"
3IINFOTECH,25-11-2005,67.65,NIFTY50,18-08-2000,"1,358.05"
3IINFOTECH,28-11-2005,67.93,NIFTY50,21-08-2000,"1,370.25"
3IINFOTECH,29-11-2005,68.65,NIFTY50,22-08-2000,"1,381.20"
3IINFOTECH,30-11-2005,69.93,NIFTY50,23-08-2000,"1,386.05"
3IINFOTECH,01-12-2005,71.13,NIFTY50,24-08-2000,"1,386.95"
3IINFOTECH,02-12-2005,69.58,NIFTY50,25-08-2000,"1,381.25"
3IINFOTECH,05-12-2005,74.63,NIFTY50,28-08-2000,"1,369.85"
3IINFOTECH,06-12-2005,74.73,NIFTY50,29-08-2000,"1,367.70"
3IINFOTECH,07-12-2005,74.1,NIFTY50,30-08-2000,"1,375.95"
3IINFOTECH,08-12-2005,73.68,NIFTY50,31-08-2000,"1,394.10"
3IINFOTECH,09-12-2005,74.35,NIFTY50,04-09-2000,"1,427.75"
3IINFOTECH,12-12-2005,76.18,NIFTY50,05-09-2000,"1,428.25"
3IINFOTECH,13-12-2005,75.58,NIFTY50,06-09-2000,"1,435.35"
3IINFOTECH,14-12-2005,74.15,NIFTY50,07-09-2000,"1,439.75"
3IINFOTECH,15-12-2005,74.23,NIFTY50,08-09-2000,"1,450.05"
3IINFOTECH,16-12-2005,78.73,NIFTY50,11-09-2000,"1,456.35"
3IINFOTECH,19-12-2005,80.85,NIFTY50,12-09-2000,"1,467.65"
3IINFOTECH,20-12-2005,79.93,NIFTY50,13-09-2000,"1,456.15"
3IINFOTECH,21-12-2005,80.18,NIFTY50,14-09-2000,"1,445.30"
3IINFOTECH,22-12-2005,84.58,NIFTY50,15-09-2000,"1,417.20"
3IINFOTECH,23-12-2005,88.93,NIFTY50,18-09-2000,"1,354.35"
3IINFOTECH,26-12-2005,85.6,NIFTY50,19-09-2000,"1,317.00"
3IINFOTECH,27-12-2005,93.93,NIFTY50,20-09-2000,"1,342.90"
3IINFOTECH,28-12-2005,92.75,NIFTY50,21-09-2000,"1,329.85"
3IINFOTECH,29-12-2005,97.38,NIFTY50,22-09-2000,"1,266.45"
3IINFOTECH,30-12-2005,95.58,NIFTY50,25-09-2000,"1,292.55"
3IINFOTECH,02-01-2006,97.35,NIFTY50,26-09-2000,"1,267.90"
3IINFOTECH,03-01-2006,96.65,NIFTY50,27-09-2000,"1,292.55"
3IINFOTECH,04-01-2006,95.53,NIFTY50,28-09-2000,"1,266.40"
3IINFOTECH,05-01-2006,93.53,NIFTY50,29-09-2000,"1,271.65"
3IINFOTECH,06-01-2006,94.2,NIFTY50,03-10-2000,"1,282.00"
3IINFOTECH,09-01-2006,94.5,NIFTY50,04-10-2000,"1,297.80"
3IINFOTECH,10-01-2006,94.85,NIFTY50,05-10-2000,"1,284.75"
3IINFOTECH,11-01-2006,94.85,NIFTY50,06-10-2000,"1,285.00"
3IINFOTECH,12-01-2006,90.33,NIFTY50,09-10-2000,"1,267.30"
3IINFOTECH,13-01-2006,90.48,NIFTY50,10-10-2000,"1,238.95"
3IINFOTECH,16-01-2006,89.2,NIFTY50,11-10-2000,"1,201.90"
3IINFOTECH,17-01-2006,88.95,NIFTY50,12-10-2000,"1,206.25"
3IINFOTECH,18-01-2006,89.45,NIFTY50,13-10-2000,"1,176.75"
3IINFOTECH,19-01-2006,91.5,NIFTY50,16-10-2000,"1,175.45"
3IINFOTECH,20-01-2006,92.38,NIFTY50,17-10-2000,"1,158.05"
3IINFOTECH,23-01-2006,91.65,NIFTY50,18-10-2000,"1,136.00"
3IINFOTECH,24-01-2006,93.63,NIFTY50,19-10-2000,"1,166.15"
3IINFOTECH,25-01-2006,91,NIFTY50,20-10-2000,"1,172.00"
3IINFOTECH,26-01-2006,91,NIFTY50,23-10-2000,"1,143.95"
3IINFOTECH,27-01-2006,90,NIFTY50,24-10-2000,"1,152.45"
3IINFOTECH,30-01-2006,90.03,NIFTY50,25-10-2000,"1,183.90"
3IINFOTECH,31-01-2006,90.53,NIFTY50,26-10-2000,"1,186.30"
3IINFOTECH,01-02-2006,88.1,NIFTY50,27-10-2000,"1,178.70"
3IINFOTECH,02-02-2006,87.53,NIFTY50,30-10-2000,"1,167.15"
3IINFOTECH,03-02-2006,85.15,NIFTY50,31-10-2000,"1,172.75"
3IINFOTECH,06-02-2006,86.88,NIFTY50,01-11-2000,"1,200.80"
3IINFOTECH,07-02-2006,89.5,NIFTY50,02-11-2000,"1,224.85"
3IINFOTECH,08-02-2006,90.85,NIFTY50,03-11-2000,"1,242.05"
3IINFOTECH,09-02-2006,90.85,NIFTY50,06-11-2000,"1,240.25"
3IINFOTECH,10-02-2006,89.28,NIFTY50,07-11-2000,"1,246.75"
3IINFOTECH,13-02-2006,88.85,NIFTY50,08-11-2000,"1,266.80"
3IINFOTECH,14-02-2006,89.15,NIFTY50,09-11-2000,"1,269.95"
3IINFOTECH,15-02-2006,89.2,NIFTY50,10-11-2000,"1,239.55"
3IINFOTECH,16-02-2006,88.78,NIFTY50,13-11-2000,"1,208.05"
3IINFOTECH,17-02-2006,85.93,NIFTY50,14-11-2000,"1,242.85"
3IINFOTECH,20-02-2006,83.8,NIFTY50,15-11-2000,"1,247.05"
3IINFOTECH,21-02-2006,86.08,NIFTY50,16-11-2000,"1,233.25"
3IINFOTECH,22-02-2006,86.05,NIFTY50,17-11-2000,"1,236.00"
3IINFOTECH,23-02-2006,87.13,NIFTY50,20-11-2000,"1,237.60"
3IINFOTECH,24-02-2006,85.08,NIFTY50,21-11-2000,"1,235.00"
3IINFOTECH,27-02-2006,84.83,NIFTY50,22-11-2000,"1,222.35"
3IINFOTECH,28-02-2006,84.85,NIFTY50,23-11-2000,"1,216.00"
3IINFOTECH,01-03-2006,87.63,NIFTY50,24-11-2000,"1,225.20"
3IINFOTECH,02-03-2006,86.43,NIFTY50,27-11-2000,"1,252.90"
3IINFOTECH,03-03-2006,89.5,NIFTY50,28-11-2000,"1,272.75"
3IINFOTECH,06-03-2006,91.45,NIFTY50,29-11-2000,"1,264.75"
3IINFOTECH,07-03-2006,89.38,NIFTY50,30-11-2000,"1,268.15"
3IINFOTECH,08-03-2006,85.88,NIFTY50,01-12-2000,"1,276.20"
3IINFOTECH,09-03-2006,85.95,NIFTY50,04-12-2000,"1,275.60"
3IINFOTECH,10-03-2006,86.23,NIFTY50,05-12-2000,"1,284.65"
3IINFOTECH,13-03-2006,89.38,NIFTY50,06-12-2000,"1,298.55"
3IINFOTECH,14-03-2006,88.73,NIFTY50,07-12-2000,"1,302.50"
3IINFOTECH,15-03-2006,88.73,NIFTY50,08-12-2000,"1,313.70"
3IINFOTECH,16-03-2006,88.83,NIFTY50,11-12-2000,"1,332.15"
3IINFOTECH,17-03-2006,88.35,NIFTY50,12-12-2000,"1,333.35"
3IINFOTECH,20-03-2006,93.73,NIFTY50,13-12-2000,"1,354.30"
3IINFOTECH,21-03-2006,91.5,NIFTY50,14-12-2000,"1,349.35"
3IINFOTECH,22-03-2006,89.93,NIFTY50,15-12-2000,"1,312.60"
3IINFOTECH,23-03-2006,92.4,NIFTY50,18-12-2000,"1,317.60"
