firm,Dates,NCSKEW
3IINFOTECH,2005-04-21,[nan]
3IINFOTECH,2006-01-02,[-16.22878306]
3IINFOTECH,2007-01-01,[-16.25805567]
3IINFOTECH,2008-01-01,[-16.50580091]
3IINFOTECH,2009-01-01,[-16.48485976]
3IINFOTECH,2010-01-01,[-16.27236224]
3IINFOTECH,2011-01-03,[-16.46386986]
3IINFOTECH,2012-01-02,[-16.57118613]
3IINFOTECH,2013-01-01,[-16.44998847]
3IINFOTECH,2014-01-01,[-16.32924962]
3IINFOTECH,2015-01-01,[-16.97004508]
3IINFOTECH,2016-01-01,[-16.36013221]
3IINFOTECH,2017-01-02,[-16.35779973]
3IINFOTECH,2018-01-01,[-16.64607622]
3IINFOTECH,2019-01-01,[-16.80899526]
3IINFOTECH,2020-01-01,[-7.7536955]
ABAN,2000-01-04,[-16.44607731]
ABAN,2001-01-01,[-16.28794965]
ABAN,2002-01-01,[-16.73333051]
ABAN,2003-01-01,[-16.54295201]
ABAN,2004-01-01,[nan]
