firm,Dates,NCSKEW
3IINFOTECH,2005-04-21,[nan]
3IINFOTECH,2006-01-02,[-0.1819069]
3IINFOTECH,2007-01-01,[-0.13459668]
3IINFOTECH,2008-01-01,[-0.18020714]
3IINFOTECH,2009-01-01,[-0.23412403]
3IINFOTECH,2010-01-01,[-0.21324755]
3IINFOTECH,2011-01-03,[-0.35299322]
3IINFOTECH,2012-01-02,[-1.03903588]
3IINFOTECH,2013-01-01,[-2.36226909]
3IINFOTECH,2014-01-01,[-1.46021265]
3IINFOTECH,2015-01-01,[-2.8688493]
3IINFOTECH,2016-01-01,[-2.84652997]
3IINFOTECH,2017-01-02,[-3.14053382]
3IINFOTECH,2018-01-01,[-3.3512924]
3IINFOTECH,2019-01-01,[-6.90108377]
3IINFOTECH,2020-01-01,[-5.16367473]
ABAN,2000-01-04,[-3.18424386]
ABAN,2001-01-01,[-1.66236088]
ABAN,2002-01-01,[-0.67884375]
ABAN,2003-01-01,[-0.27263353]
ABAN,2004-01-01,[nan]
