firm,Dates,Price,Symbol,Date,Nifty50 prices,W
3IINFOTECH,2005-04-21,50.0,NIFTY50,2000-04-01,1638.7,[nan]
3IINFOTECH,2005-04-22,48.9,NIFTY50,2000-05-01,1595.8,[nan]
3IINFOTECH,2005-04-25,47.43,NIFTY50,2000-06-01,1617.6,[3.88011946]
3IINFOTECH,2005-04-26,46.6,NIFTY50,2000-07-01,1613.3,[3.86283276]
3IINFOTECH,2005-04-27,48.0,NIFTY50,2000-10-01,1632.95,[3.8918203]
3IINFOTECH,2005-04-28,47.88,NIFTY50,2000-11-01,1572.5,[3.88936831]
3IINFOTECH,2005-04-29,46.65,NIFTY50,2000-12-01,1624.8,[3.86388263]
3IINFOTECH,2005-05-02,46.88,NIFTY50,2000-01-13,1621.4,[3.86869788]
3IINFOTECH,2005-05-03,46.5,NIFTY50,2000-01-14,1622.75,[3.86072971]
3IINFOTECH,2005-05-04,46.85,NIFTY50,2000-01-17,1611.6,[3.86807112]
3IINFOTECH,2005-05-05,46.78,NIFTY50,2000-01-18,1606.7,[3.86660714]
3IINFOTECH,2005-05-06,47.3,NIFTY50,2000-01-19,1634.85,[3.87743156]
3IINFOTECH,2005-05-09,47.53,NIFTY50,2000-01-20,1601.1,[3.88218216]
3IINFOTECH,2005-05-10,47.53,NIFTY50,2000-01-21,1620.6,[3.88218216]
3IINFOTECH,2005-05-11,47.28,NIFTY50,2000-01-24,1613.6,[3.8770174]
3IINFOTECH,2005-05-12,47.23,NIFTY50,2000-01-25,1586.4,[3.87598123]
3IINFOTECH,2005-05-13,47.03,NIFTY50,2000-01-27,1603.9,[3.87182582]
3IINFOTECH,2005-05-16,47.65,NIFTY50,2000-01-28,1599.1,[3.88465181]
3IINFOTECH,2005-05-17,48.0,NIFTY50,2000-01-31,1546.2,[3.8918203]
3IINFOTECH,2005-05-18,49.4,NIFTY50,2000-01-02,1549.5,[3.91999118]
3IINFOTECH,2005-05-19,49.0,NIFTY50,2000-02-02,1588.0,[3.91202301]
3IINFOTECH,2005-05-20,50.48,NIFTY50,2000-03-02,1597.9,[3.94119338]
3IINFOTECH,2005-05-23,49.28,NIFTY50,2000-04-02,1599.75,[3.91760738]
3IINFOTECH,2005-05-24,48.4,NIFTY50,2000-07-02,1636.6,[3.89995042]
3IINFOTECH,2005-05-25,48.1,NIFTY50,2000-08-02,1662.75,[3.89385903]
3IINFOTECH,2005-05-26,48.65,NIFTY50,2000-09-02,1689.65,[3.90499839]
3IINFOTECH,2005-05-27,47.98,NIFTY50,2000-10-02,1711.2,[3.89141205]
3IINFOTECH,2005-05-30,47.65,NIFTY50,2000-11-02,1756.0,[3.88465181]
3IINFOTECH,2005-05-31,47.63,NIFTY50,2000-02-14,1744.5,[3.88424062]
3IINFOTECH,2005-06-01,47.98,NIFTY50,2000-02-15,1702.55,[3.89141205]
3IINFOTECH,2005-06-02,47.18,NIFTY50,2000-02-16,1711.1,[3.874944]
3IINFOTECH,2005-06-03,47.53,NIFTY50,2000-02-17,1742.1,[3.88218216]
3IINFOTECH,2005-06-06,47.73,NIFTY50,2000-02-18,1717.8,[3.88629486]
3IINFOTECH,2005-06-07,47.78,NIFTY50,2000-02-21,1753.5,[3.88732039]
3IINFOTECH,2005-06-08,48.15,NIFTY50,2000-02-22,1739.05,[3.89487685]
3IINFOTECH,2005-06-09,47.78,NIFTY50,2000-02-23,1696.4,[3.88732039]
3IINFOTECH,2005-06-10,47.6,NIFTY50,2000-02-24,1732.0,[3.88362353]
3IINFOTECH,2005-06-13,48.05,NIFTY50,2000-02-25,1710.45,[3.89284019]
3IINFOTECH,2005-06-14,47.75,NIFTY50,2000-02-28,1722.55,[3.8867052]
3IINFOTECH,2005-06-15,48.3,NIFTY50,2000-02-29,1654.8,[3.89792408]
3IINFOTECH,2005-06-16,47.55,NIFTY50,2000-01-03,1712.7,[3.88259419]
3IINFOTECH,2005-06-17,46.55,NIFTY50,2000-02-03,1696.55,[3.86178179]
3IINFOTECH,2005-06-20,46.6,NIFTY50,2000-03-03,1656.0,[3.86283276]
3IINFOTECH,2005-06-21,46.38,NIFTY50,2000-06-03,1688.5,[3.8582002]
3IINFOTECH,2005-06-22,46.0,NIFTY50,2000-07-03,1702.75,[3.8501476]
3IINFOTECH,2005-06-23,45.85,NIFTY50,2000-08-03,1666.35,[3.84695101]
3IINFOTECH,2005-06-24,45.85,NIFTY50,2000-09-03,1646.25,[3.84695101]
3IINFOTECH,2005-06-27,45.88,NIFTY50,2000-10-03,1602.75,[3.84759115]
3IINFOTECH,2005-06-28,45.0,NIFTY50,2000-03-13,1560.7,[3.8286414]
3IINFOTECH,2005-06-29,44.55,NIFTY50,2000-03-14,1567.05,[3.81881062]
3IINFOTECH,2005-06-30,44.53,NIFTY50,2000-03-15,1620.1,[3.81837145]
3IINFOTECH,2005-07-01,44.3,NIFTY50,2000-03-16,1562.2,[3.81330703]
3IINFOTECH,2005-07-04,44.6,NIFTY50,2000-03-21,1556.6,[3.81990772]
3IINFOTECH,2005-07-05,44.58,NIFTY50,2000-03-22,1589.6,[3.81946902]
3IINFOTECH,2005-07-06,46.35,NIFTY50,2000-03-23,1553.4,[3.85756682]
3IINFOTECH,2005-07-07,45.28,NIFTY50,2000-03-24,1569.55,[3.8347099]
3IINFOTECH,2005-07-08,45.25,NIFTY50,2000-03-27,1562.95,[3.83406146]
3IINFOTECH,2005-07-11,45.45,NIFTY50,2000-03-28,1568.6,[3.83837647]
3IINFOTECH,2005-07-12,45.13,NIFTY50,2000-03-29,1558.25,[3.8314635]
3IINFOTECH,2005-07-13,44.88,NIFTY50,2000-03-30,1549.5,[3.82602929]
3IINFOTECH,2005-07-14,44.65,NIFTY50,2000-03-31,1528.45,[3.82100361]
3IINFOTECH,2005-07-15,44.65,NIFTY50,2000-03-04,1534.75,[3.82100361]
3IINFOTECH,2005-07-18,48.08,NIFTY50,2000-04-04,1428.1,[3.89345162]
3IINFOTECH,2005-07-19,52.0,NIFTY50,2000-05-04,1434.65,[3.97029191]
3IINFOTECH,2005-07-20,51.38,NIFTY50,2000-06-04,1452.95,[3.95852484]
3IINFOTECH,2005-07-21,49.65,NIFTY50,2000-07-04,1557.15,[3.92493923]
3IINFOTECH,2005-07-22,50.45,NIFTY50,2000-10-04,1613.0,[3.94061046]
3IINFOTECH,2005-07-25,49.53,NIFTY50,2000-11-04,1624.65,[3.92256722]
3IINFOTECH,2005-07-26,48.58,NIFTY50,2000-12-04,1592.7,[3.90358753]
3IINFOTECH,2005-07-27,48.15,NIFTY50,2000-04-13,1518.65,[3.89487685]
3IINFOTECH,2005-07-28,48.15,NIFTY50,2000-04-17,1443.55,[3.89487685]
